car_name,location,year,Kilometers,Fuel_Type,transmission,Owner_Type,price
Hyundai Creta,Delhi,2016,"85,035 km",Diesel,Manual,1st Owner,"8,54,999"
Ford Ecosport,Delhi,2014,"38,471 km",Diesel,Manual,1st Owner,"4,89,599"
Ford Ecosport,Delhi,2017,"80,383 km",Diesel,Manual,1st Owner,"6,63,999"
Toyota Innova,Delhi,2014,"69,958 km",Diesel,Manual,1st Owner,"9,96,799"
Toyota Innova Crysta,Delhi,2017,"85,295 km",Diesel,Automatic,1st Owner,"14,71,699"
Maruti Vitara Brezza,Delhi,2016,"66,151 km",Diesel,Manual,2nd Owner,"6,63,799"
Mahindra Scorpio,Delhi,2016,"46,876 km",Diesel,Manual,1st Owner,"11,57,499"
Maruti Vitara Brezza,Delhi,2017,"51,995 km",Diesel,Manual,2nd Owner,"6,87,299"
Ford Ecosport,Delhi,2018,"42,231 km",Diesel,Manual,1st Owner,"8,29,899"
Ford Ecosport,Delhi,2019,"53,610 km",Diesel,Manual,1st Owner,"8,60,399"
Maruti Vitara Brezza,Delhi,2017,"82,543 km",Diesel,Manual,1st Owner,"7,85,899"
Maruti Vitara Brezza,Delhi,2018,"60,395 km",Diesel,Manual,1st Owner,"6,81,899"
Maruti Ertiga,Delhi,2014,"94,820 km",Diesel,Manual,2nd Owner,"5,19,399"
Ford Ecosport,Delhi,2018,"24,288 km",Diesel,Manual,1st Owner,"8,46,999"
Ford Ecosport,Delhi,2014,"59,522 km",Diesel,Manual,2nd Owner,"4,54,299"
Ford Ecosport,Delhi,2016,"88,980 km",Diesel,Manual,1st Owner,"5,94,599"
Maruti Vitara Brezza,Delhi,2017,"53,153 km",Diesel,Manual,1st Owner,"6,29,199"
Ford Ecosport,Delhi,2018,"35,747 km",Diesel,Manual,1st Owner,"7,93,499"
Ford Ecosport,Delhi,2014,"59,650 km",Diesel,Manual,1st Owner,"4,85,499"
Ford Ecosport,Delhi,2018,"28,379 km",Diesel,Manual,1st Owner,"8,29,399"
Maruti Vitara Brezza,Delhi,2017,"82,543 km",Diesel,Manual,1st Owner,"7,85,899"
Ford Ecosport,Delhi,2016,"47,503 km",Diesel,Manual,1st Owner,"6,26,199"
Maruti Vitara Brezza,Delhi,2020,"17,212 km",Petrol,Automatic,1st Owner,"11,41,099"
Ford Ecosport,Delhi,2018,"88,325 km",Petrol + CNG,Manual,1st Owner,"7,72,799"
